time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
1487,196,401408,269,0.015624165534973145,0.0002,0.025879623368382454,195,0.1266048550605774,-0.7179403305053711,0.0,12684.7421875,-1704.293302,23352.0
1483,197,403456,271,-0.008889913558959961,0.0002,-0.013305570930242538,196,0.11708900332450867,-0.7180263996124268,,,-1704.293302,23352.0
1479,198,405504,274,-0.014280438423156738,0.0002,-0.003364041680470109,197,0.11469055712223053,-0.7169200778007507,,,-1704.293302,23352.0
1475,199,407552,276,-0.011561155319213867,0.0002,0.01636057160794735,198,0.11997245252132416,-0.7095075249671936,,,-1704.293302,23352.0
1471,200,409600,278,-0.008592963218688965,0.0002,-0.02031012251973152,199,0.11360320448875427,-0.7161351442337036,,,-1704.293302,23352.0
1467,201,411648,280,-0.020491719245910645,0.0002,0.0007664980366826057,200,0.11302078515291214,-0.7172818183898926,,,-1704.293302,23352.0
1462,202,413696,282,-0.05140113830566406,0.0002,-0.006240497343242168,201,0.1155136227607727,-0.7120399475097656,,,-1704.293302,23352.0
1459,203,415744,284,-0.039151549339294434,0.0002,0.014848761260509491,202,0.11545109748840332,-0.7140883207321167,,,-1704.293302,23352.0
1455,204,417792,287,-0.03366494178771973,0.0002,-0.010964921675622463,203,0.1156751811504364,-0.7157896161079407,,,-1704.293302,23352.0
1451,205,419840,289,0.004433095455169678,0.0002,0.009598776698112488,204,0.10905195027589798,-0.7169657945632935,,,-1704.293302,23352.0
1447,206,421888,291,0.0021552443504333496,0.0002,-0.014315144158899784,205,0.11416443437337875,-0.7169827818870544,,,-1704.293302,23352.0
1443,207,423936,293,0.02315288782119751,0.0002,0.007066589780151844,206,0.11796733736991882,-0.7164108157157898,,,-1704.293302,23352.0
1440,208,425984,295,0.007618963718414307,0.0002,-0.01611819490790367,207,0.11302904784679413,-0.7149803042411804,,,-1704.293302,23352.0
1436,209,428032,297,-0.031342387199401855,0.0002,0.00683256983757019,208,0.11435934156179428,-0.7125821113586426,,,-1704.293302,23352.0
1432,210,430080,300,-0.08342838287353516,0.0002,-0.007470323704183102,209,0.12130801379680634,-0.7092366218566895,,,-1704.293302,23352.0
1429,211,432128,302,0.08149540424346924,0.0002,-0.0008545303717255592,210,0.1110236868262291,-0.7049611210823059,,,-1704.293302,23352.0
1425,212,434176,304,0.02443671226501465,0.0002,-0.010525790974497795,211,0.1098223552107811,-0.7025454044342041,,,-1704.293302,23352.0
1421,213,436224,306,0.03302037715911865,0.0002,0.01922708749771118,212,0.11492669582366943,-0.7021889686584473,,,-1704.293302,23352.0
1417,214,438272,309,0.09948563575744629,0.0002,-0.0006689862348139286,213,0.11307614296674728,-0.702114999294281,,,-1704.293302,23352.0
1414,215,440320,311,0.020488500595092773,0.0002,-0.017523951828479767,214,0.11022019386291504,-0.6925501227378845,,,-1704.293302,23352.0
1410,216,442368,313,0.09025603532791138,0.0002,0.0040897829458117485,215,0.11070206761360168,-0.6771020889282227,,,-1704.293302,23352.0
1407,217,444416,315,0.04466062784194946,0.0002,-0.0038653777446597815,216,0.12105391919612885,-0.6700335741043091,,,-1704.293302,23352.0
1403,218,446464,318,0.08668500185012817,0.0002,-0.0022142529487609863,217,0.11155058443546295,-0.6564770340919495,,,-1704.293302,23352.0
1400,219,448512,320,0.10386788845062256,0.0002,0.008410489186644554,218,0.11375713348388672,-0.6582692861557007,,,-1704.293302,23352.0
1396,220,450560,322,0.11346578598022461,0.0002,-0.015064259059727192,219,0.11291618645191193,-0.689694344997406,,,-1704.293302,23352.0
1394,221,452608,324,0.11385887861251831,0.0002,0.013345863670110703,220,0.11465480178594589,-0.6857286691665649,,,-1704.293302,23352.0
