time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb
190,215040,1127,210,-10.46004867553711,-1.0943094491958618,0.0002,209,0.00448711309581995,0.03169887512922287,,
192,216064,1124,211,-18.135164260864258,-1.0943095684051514,0.0002,210,0.01125640794634819,-0.03868142515420914,,
193,217088,1121,212,-5.513347625732422,-1.094364881515503,0.0002,211,0.007376219145953655,0.034214675426483154,,
194,218112,1118,213,-4.654242992401123,-1.0943868160247803,0.0002,212,0.01777479611337185,-0.03217187896370888,,
196,219136,1115,214,-16.253429412841797,-1.094460129737854,0.0002,213,0.004270913079380989,0.018940871581435204,,
197,220160,1113,215,-5.193774223327637,-1.0943238735198975,0.0002,214,0.016069933772087097,-0.018792424350976944,,
199,221184,1110,216,-17.255054473876953,-1.0945980548858643,0.0002,215,0.005720027722418308,0.004047629423439503,,
200,222208,1107,217,-0.9714750051498413,-1.0942542552947998,0.0002,216,0.0751749575138092,-0.004304529633373022,,
202,223232,1104,218,-12.57062816619873,-1.0939347743988037,0.0002,217,0.035420820116996765,-0.039168763905763626,,
203,224256,1101,219,-19.633119583129883,-1.0937702655792236,0.0002,218,0.01012967899441719,0.02827679179608822,,
204,225280,1099,220,-6.706519603729248,-1.093794345855713,0.0002,219,0.00597098283469677,-0.02563658356666565,,
206,226304,1096,221,-19.63831901550293,-1.0942208766937256,0.0002,220,0.013510119169950485,0.02179555781185627,,
207,227328,1093,222,-7.104884147644043,-1.0940881967544556,0.0002,221,0.0063487458974123,-0.018729280680418015,,
209,228352,1090,223,-16.400907516479492,-1.0939263105392456,0.0002,222,0.02497256174683571,0.006797883193939924,,
210,229376,1088,224,-8.860724449157715,-1.0939735174179077,0.0002,223,0.027791600674390793,-0.018902137875556946,,
212,230400,1085,225,-15.038469314575195,-1.094245195388794,0.0002,224,0.003389862598851323,0.010592945851385593,,
213,231424,1082,226,-8.50822639465332,-1.0943396091461182,0.0002,225,0.0033895974047482014,-0.01121801882982254,,
215,232448,1080,227,-21.807798385620117,-1.0935543775558472,0.0002,226,0.004484746605157852,0.016058657318353653,,
216,233472,1077,228,-5.588146209716797,-1.0934127569198608,0.0002,227,0.005024414509534836,-0.022835301235318184,,
218,234496,1074,229,-16.78227424621582,-1.0933377742767334,0.0002,228,0.01477407943457365,0.026680607348680496,,
219,235520,1072,230,-7.990791320800781,-1.0930238962173462,0.0002,229,0.008083565160632133,-0.03332388401031494,,
221,236544,1069,231,-4.023433208465576,-1.0938560962677002,0.0002,230,0.014570971950888634,0.02870148792862892,,
222,237568,1066,232,-9.979400634765625,-1.0937092304229736,0.0002,231,0.007795893587172031,-0.028175843879580498,,
224,238592,1063,233,-14.403169631958008,-1.093791127204895,0.0002,232,0.0038212998770177364,0.028576858341693878,,
225,239616,1061,234,-12.541584014892578,-1.0938819646835327,0.0002,233,0.008086103945970535,-0.02623174712061882,,
227,240640,1057,235,-15.03121566772461,-1.094226598739624,0.0002,234,0.004583326168358326,0.02552800625562668,5.4,10477.52734375
229,241664,1055,236,-5.424858093261719,-1.0939750671386719,0.0002,235,0.004393651615828276,-0.02955300733447075,,
230,242688,1052,237,-8.717641830444336,-1.0936665534973145,0.0002,236,0.032886214554309845,0.02649640291929245,,
232,243712,1049,238,-1.0862541198730469,-1.0935349464416504,0.0002,237,0.007836020551621914,-0.02562663145363331,,
